id,name,followers,popularity,new_genre
4q3ewBCX7sLwd24euuV69X,Bad Bunny,32476412,98,Latino
4q3ewBCX7sLwd24euuV69X,Bad Bunny,32476412,98,Trap
3TVXtAsR1Inumwj472S9r4,Drake,54510167,98,Hiphop
3TVXtAsR1Inumwj472S9r4,Drake,54510167,98,Pop
3TVXtAsR1Inumwj472S9r4,Drake,54510167,98,Rap
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,27386167,95,Latino
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,27386167,95,Trap
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,17097658,96,Rap
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,31539792,96,Hiphop
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,31539792,96,Pop
3Nrfpe0tUJi4K4DXYWgMUX,BTS,31838007,96,Pop
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,41982085,92,Pop
06HL4z0CvFAxyc27GXpf02,Taylor Swift,39054299,99,Pop
246dkjvS1zLTtiykXe5h60,Post Malone,32244892,93,Rap
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,16183320,94,Rap
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,16183320,94,House
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,61638703,95,Pop
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,44804290,100,Pop
7dGJo4pcD2V6oG8kP0tJRR,Eminem,43884574,94,Hiphop
7dGJo4pcD2V6oG8kP0tJRR,Eminem,43884574,94,Rap
2R21vXR83lH98kGeO99Y66,Anuel AA,17137259,91,Latino
2R21vXR83lH98kGeO99Y66,Anuel AA,17137259,91,Trap
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,24242046,95,Pop
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,27850689,93,Latino
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,27850689,93,Pop
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,27850689,93,Trap
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,79118817,92,Pop
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,26886539,92,Rap
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,26886539,92,Hiphop
6LuN9FCkKOj5PcnpouEgny,Khalid,13753318,92,Hiphop
6LuN9FCkKOj5PcnpouEgny,Khalid,13753318,92,Pop
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,22884126,91,Latino
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,22884126,91,Trap
4SsVbpTthjScTS7U2hmr1X,Arcangel,6300067,86,Latino
4SsVbpTthjScTS7U2hmr1X,Arcangel,6300067,86,Trap
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,5190445,92,Trap
4r63FhuTkUYltbVAg5TQnk,DaBaby,6539916,94,Hiphop
4r63FhuTkUYltbVAg5TQnk,DaBaby,6539916,94,Rap
6KImCVD70vtIoJWnq6nGn3,Harry Styles,14202827,90,Pop
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,11243844,91,Rap
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,11243844,91,Trap
26VFTg2z8YR0cCuwLzESi2,Halsey,14685726,89,Pop
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,17105870,89,Pop
7iK8PXO48WeuP03g8YR51W,Myke Towers,5069773,95,Trap
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,4494762,93,Pop
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,4494762,93,Trap
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,6024423,88,Rap
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,6024423,88,Trap
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,13747868,92,Rap
1r4hJ1h58CWwUQe3MxPuau,Maluma,25150991,91,Latino
04gDigrS5kc9YWfZHwBETP,Maroon 5,30370294,91,Pop
04gDigrS5kc9YWfZHwBETP,Maroon 5,30370294,91,Rock
1dfeR4HaWDbWqFHLkxsg1d,Queen,33613115,90,Rock
