album_name,album_release_date,artists_name,artists_id,duration_ms,explicit,name,popularity,external_urls,test,year
EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,Bad Bunny,4q3ewBCX7sLwd24euuV69X,203200,False,LA NOCHE DE ANOCHE,92,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck,yes,2020
EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,Bad Bunny,4q3ewBCX7sLwd24euuV69X,205090,True,DÁKITI,89,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,yes,2020
EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,Bad Bunny,4q3ewBCX7sLwd24euuV69X,130013,True,TE MUDASTE,87,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY,yes,2020
UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,232253,False,UN DIA (ONE DAY) (Feat. Tainy),86,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,yes,2020
UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,232253,False,UN DIA (ONE DAY) (Feat. Tainy),86,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,yes,2020
UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,Bad Bunny,4q3ewBCX7sLwd24euuV69X,232253,False,UN DIA (ONE DAY) (Feat. Tainy),86,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,yes,2020
OASIS,2019-06-28,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,242573,False,LA CANCIÓN,84,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,yes,2019
OASIS,2019-06-28,Bad Bunny,4q3ewBCX7sLwd24euuV69X,242573,False,LA CANCIÓN,84,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,yes,2019
EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,Bad Bunny,4q3ewBCX7sLwd24euuV69X,156430,True,BOOKER T,83,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So,yes,2020
CÓMO SE SIENTE (Remix),2020-05-09,Bad Bunny,4q3ewBCX7sLwd24euuV69X,227520,True,CÓMO SE SIENTE - Remix,82,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC,yes,2020
Invasion of Privacy,2018-04-06,Bad Bunny,4q3ewBCX7sLwd24euuV69X,253390,True,I Like It,82,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,yes,2018
Invasion of Privacy,2018-04-06,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,253390,True,I Like It,82,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,yes,2018
YHLQMDLG,2020-02-28,Bad Bunny,4q3ewBCX7sLwd24euuV69X,295176,True,Safaera,82,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,yes,2020
Callaita,2019-05-31,Bad Bunny,4q3ewBCX7sLwd24euuV69X,250533,True,Callaita,82,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,yes,2019
Scary Hours 2,2021-03-05,Drake,3TVXtAsR1Inumwj472S9r4,178153,True,What’s Next,90,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz,yes,2021
Scary Hours 2,2021-03-05,Drake,3TVXtAsR1Inumwj472S9r4,192956,True,Wants and Needs (feat. Lil Baby),89,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b,yes,2021
Laugh Now Cry Later (feat. Lil Durk),2020-08-14,Drake,3TVXtAsR1Inumwj472S9r4,261492,True,Laugh Now Cry Later (feat. Lil Durk),87,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,yes,2020
POPSTAR (feat. Drake),2020-07-17,Drake,3TVXtAsR1Inumwj472S9r4,200221,True,POPSTAR (feat. Drake),85,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq,yes,2020
Scary Hours 2,2021-03-05,Drake,3TVXtAsR1Inumwj472S9r4,383036,True,Lemon Pepper Freestyle (feat. Rick Ross),84,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI,yes,2021
Life Is Good (feat. Drake),2020-01-10,Future,1RyvyyTE3xzB2ZywiAwp0i,237735,True,Life Is Good (feat. Drake),84,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,yes,2020
Life Is Good (feat. Drake),2020-01-10,Drake,3TVXtAsR1Inumwj472S9r4,237735,True,Life Is Good (feat. Drake),84,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,yes,2020
Scorpion,2018-06-29,Drake,3TVXtAsR1Inumwj472S9r4,198973,True,God's Plan,83,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,yes,2018
Views,2016-05-06,Drake,3TVXtAsR1Inumwj472S9r4,173986,False,One Dance,82,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0,yes,2016
GREECE (feat. Drake),2020-07-16,Drake,3TVXtAsR1Inumwj472S9r4,218901,True,GREECE (feat. Drake),82,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad,yes,2020
Dark Lane Demo Tapes,2020-05-01,Drake,3TVXtAsR1Inumwj472S9r4,220487,True,Chicago Freestyle (feat. Giveon),82,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,yes,2020
UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,232253,False,UN DIA (ONE DAY) (Feat. Tainy),86,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,yes,2020
UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,232253,False,UN DIA (ONE DAY) (Feat. Tainy),86,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,yes,2020
UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,Bad Bunny,4q3ewBCX7sLwd24euuV69X,232253,False,UN DIA (ONE DAY) (Feat. Tainy),86,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,yes,2020
Relación (Remix),2020-09-04,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,247308,False,Relación - Remix,86,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl,yes,2020
Relación (Remix),2020-09-04,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,247308,False,Relación - Remix,86,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl,yes,2020
Relación (Remix),2020-09-04,Farruko,329e4yvIujISKGKz1BZZbO,247308,False,Relación - Remix,86,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl,yes,2020
Enoc,2020-09-04,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,230693,False,Una Locura,85,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU,yes,2020
Enoc,2020-09-04,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,230693,False,Una Locura,85,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU,yes,2020
KG0516,2021-03-26,Anuel AA,2R21vXR83lH98kGeO99Y66,263013,True,LOCATION,74,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE,yes,2021
KG0516,2021-03-26,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,263013,True,LOCATION,74,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE,yes,2021
OASIS,2019-06-28,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,242573,False,LA CANCIÓN,84,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,yes,2019
OASIS,2019-06-28,Bad Bunny,4q3ewBCX7sLwd24euuV69X,242573,False,LA CANCIÓN,84,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,yes,2019
Otra Noche Sin Ti,2021-04-09,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,228920,False,Otra Noche Sin Ti,83,https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx,yes,2021
Otra Noche Sin Ti,2021-04-09,Khalid,6LuN9FCkKOj5PcnpouEgny,228920,False,Otra Noche Sin Ti,83,https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx,yes,2021
Tu Veneno,2021-03-19,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,157320,False,Tu Veneno,83,https://open.spotify.com/track/5KFHrrBMyGj5MhVbZMM3ts,yes,2021
Invasion of Privacy,2018-04-06,Bad Bunny,4q3ewBCX7sLwd24euuV69X,253390,True,I Like It,82,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,yes,2018
Invasion of Privacy,2018-04-06,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,253390,True,I Like It,82,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,yes,2018
"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",2020-11-06,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,192745,True,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",81,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK,yes,2020
"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",2020-11-06,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,192745,True,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",81,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK,yes,2020
