id,name,genre,followers,popularity
4q3ewBCX7sLwd24euuV69X,Bad Bunny,latin,32476412,98
4q3ewBCX7sLwd24euuV69X,Bad Bunny,reggaeton,32476412,98
4q3ewBCX7sLwd24euuV69X,Bad Bunny,trap latino,32476412,98
3TVXtAsR1Inumwj472S9r4,Drake,canadian hip hop,54510167,98
3TVXtAsR1Inumwj472S9r4,Drake,canadian pop,54510167,98
3TVXtAsR1Inumwj472S9r4,Drake,hip hop,54510167,98
3TVXtAsR1Inumwj472S9r4,Drake,pop rap,54510167,98
3TVXtAsR1Inumwj472S9r4,Drake,rap,54510167,98
3TVXtAsR1Inumwj472S9r4,Drake,toronto rap,54510167,98
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,latin,27386167,95
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,reggaeton,27386167,95
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,reggaeton colombiano,27386167,95
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,trap latino,27386167,95
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,chicago rap,17097658,96
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,melodic rap,17097658,96
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,canadian contemporary r&b,31539792,96
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,canadian pop,31539792,96
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,pop,31539792,96
3Nrfpe0tUJi4K4DXYWgMUX,BTS,k-pop,31838007,96
3Nrfpe0tUJi4K4DXYWgMUX,BTS,k-pop boy group,31838007,96
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,electropop,41982085,92
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,pop,41982085,92
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,39054299,99
06HL4z0CvFAxyc27GXpf02,Taylor Swift,post-teen pop,39054299,99
246dkjvS1zLTtiykXe5h60,Post Malone,dfw rap,32244892,93
246dkjvS1zLTtiykXe5h60,Post Malone,melodic rap,32244892,93
246dkjvS1zLTtiykXe5h60,Post Malone,rap,32244892,93
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,rap,16183320,94
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,slap house,16183320,94
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop,61638703,95
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,post-teen pop,61638703,95
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,canadian pop,44804290,100
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,pop,44804290,100
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,post-teen pop,44804290,100
7dGJo4pcD2V6oG8kP0tJRR,Eminem,detroit hip hop,43884574,94
7dGJo4pcD2V6oG8kP0tJRR,Eminem,hip hop,43884574,94
7dGJo4pcD2V6oG8kP0tJRR,Eminem,rap,43884574,94
2R21vXR83lH98kGeO99Y66,Anuel AA,latin,17137259,91
2R21vXR83lH98kGeO99Y66,Anuel AA,reggaeton,17137259,91
2R21vXR83lH98kGeO99Y66,Anuel AA,reggaeton flow,17137259,91
2R21vXR83lH98kGeO99Y66,Anuel AA,trap boricua,17137259,91
2R21vXR83lH98kGeO99Y66,Anuel AA,trap latino,17137259,91
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,dance pop,24242046,95
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,pop,24242046,95
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,uk pop,24242046,95
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,latin,27850689,93
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,puerto rican pop,27850689,93
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,reggaeton,27850689,93
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,trap latino,27850689,93
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,pop,79118817,92
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,uk pop,79118817,92
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,emo rap,26886539,92
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,miami hip hop,26886539,92
6LuN9FCkKOj5PcnpouEgny,Khalid,alternative r&b,13753318,92
6LuN9FCkKOj5PcnpouEgny,Khalid,pop,13753318,92
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,latin,22884126,91
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,latin hip hop,22884126,91
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,reggaeton,22884126,91
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,trap latino,22884126,91
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,tropical,22884126,91
4SsVbpTthjScTS7U2hmr1X,Arcangel,latin,6300067,86
4SsVbpTthjScTS7U2hmr1X,Arcangel,latin hip hop,6300067,86
4SsVbpTthjScTS7U2hmr1X,Arcangel,reggaeton,6300067,86
4SsVbpTthjScTS7U2hmr1X,Arcangel,trap latino,6300067,86
4SsVbpTthjScTS7U2hmr1X,Arcangel,tropical,6300067,86
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,brooklyn drill,5190445,92
4r63FhuTkUYltbVAg5TQnk,DaBaby,north carolina hip hop,6539916,94
4r63FhuTkUYltbVAg5TQnk,DaBaby,rap,6539916,94
6KImCVD70vtIoJWnq6nGn3,Harry Styles,pop,14202827,90
6KImCVD70vtIoJWnq6nGn3,Harry Styles,post-teen pop,14202827,90
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,melodic rap,11243844,91
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,philly rap,11243844,91
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,rap,11243844,91
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,trap,11243844,91
26VFTg2z8YR0cCuwLzESi2,Halsey,dance pop,14685726,89
26VFTg2z8YR0cCuwLzESi2,Halsey,electropop,14685726,89
26VFTg2z8YR0cCuwLzESi2,Halsey,etherpop,14685726,89
26VFTg2z8YR0cCuwLzESi2,Halsey,indie poptimism,14685726,89
26VFTg2z8YR0cCuwLzESi2,Halsey,pop,14685726,89
26VFTg2z8YR0cCuwLzESi2,Halsey,post-teen pop,14685726,89
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,dance pop,17105870,89
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,pop,17105870,89
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,post-teen pop,17105870,89
7iK8PXO48WeuP03g8YR51W,Myke Towers,trap latino,5069773,95
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,puerto rican pop,4494762,93
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,trap latino,4494762,93
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,melodic rap,6024423,88
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,rap,6024423,88
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,trap,6024423,88
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,chicago rap,13747868,92
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,rap,13747868,92
1r4hJ1h58CWwUQe3MxPuau,Maluma,latin,25150991,91
1r4hJ1h58CWwUQe3MxPuau,Maluma,reggaeton,25150991,91
1r4hJ1h58CWwUQe3MxPuau,Maluma,reggaeton colombiano,25150991,91
04gDigrS5kc9YWfZHwBETP,Maroon 5,pop,30370294,91
04gDigrS5kc9YWfZHwBETP,Maroon 5,pop rock,30370294,91
1dfeR4HaWDbWqFHLkxsg1d,Queen,classic rock,33613115,90
1dfeR4HaWDbWqFHLkxsg1d,Queen,glam rock,33613115,90
1dfeR4HaWDbWqFHLkxsg1d,Queen,rock,33613115,90
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,dance pop,21030579,90
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,hip pop,21030579,90
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,pop,21030579,90
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,pop rap,21030579,90
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,post-teen pop,21030579,90
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,queens hip hop,21030579,90
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,boy band,21003860,90
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,pop,21003860,90
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,post-teen pop,21003860,90
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,talent show,21003860,90
1RyvyyTE3xzB2ZywiAwp0i,Future,atl hip hop,10118100,91
1RyvyyTE3xzB2ZywiAwp0i,Future,pop rap,10118100,91
1RyvyyTE3xzB2ZywiAwp0i,Future,rap,10118100,91
1RyvyyTE3xzB2ZywiAwp0i,Future,southern hip hop,10118100,91
1RyvyyTE3xzB2ZywiAwp0i,Future,trap,10118100,91
329e4yvIujISKGKz1BZZbO,Farruko,latin,9843814,91
329e4yvIujISKGKz1BZZbO,Farruko,latin hip hop,9843814,91
329e4yvIujISKGKz1BZZbO,Farruko,reggaeton,9843814,91
329e4yvIujISKGKz1BZZbO,Farruko,trap latino,9843814,91
329e4yvIujISKGKz1BZZbO,Farruko,tropical,9843814,91
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,modern rock,33750665,90
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,rock,33750665,90
64KEffDW9EtZ1y2vBYgq8T,Marshmello,brostep,30322350,88
64KEffDW9EtZ1y2vBYgq8T,Marshmello,edm,30322350,88
64KEffDW9EtZ1y2vBYgq8T,Marshmello,pop,30322350,88
64KEffDW9EtZ1y2vBYgq8T,Marshmello,pop dance,30322350,88
64KEffDW9EtZ1y2vBYgq8T,Marshmello,progressive electro house,30322350,88
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,canadian pop,32526501,89
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,pop,32526501,89
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,post-teen pop,32526501,89
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,viral pop,32526501,89
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,barbadian pop,42340613,92
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,dance pop,42340613,92
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,pop,42340613,92
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,post-teen pop,42340613,92
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,urban contemporary,42340613,92
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,beatlesque,19255863,88
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,british invasion,19255863,88
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,classic rock,19255863,88
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,merseybeat,19255863,88
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,psychedelic rock,19255863,88
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,rock,19255863,88
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,permanent wave,29822443,89
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,pop,29822443,89
2wY79sveU1sp5g7SokKOiI,Sam Smith,dance pop,16199001,88
2wY79sveU1sp5g7SokKOiI,Sam Smith,pop,16199001,88
2wY79sveU1sp5g7SokKOiI,Sam Smith,post-teen pop,16199001,88
2wY79sveU1sp5g7SokKOiI,Sam Smith,uk pop,16199001,88
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,pop,7596016,86
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,uk pop,7596016,86
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,dance pop,21156667,85
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,electropop,21156667,85
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,pop,21156667,85
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,post-teen pop,21156667,85
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,dance pop,26808434,89
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,pop,26808434,89
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,post-teen pop,26808434,89
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,dance pop,6297686,92
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,pop,6297686,92
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,pop rap,6297686,92
23fqKkggKUBHNkbKtXEls4,Kygo,edm,7380824,86
23fqKkggKUBHNkbKtXEls4,Kygo,pop,7380824,86
23fqKkggKUBHNkbKtXEls4,Kygo,pop dance,7380824,86
23fqKkggKUBHNkbKtXEls4,Kygo,tropical house,7380824,86
