album_name,album_release_date,artists_name,artists_id,duration_ms,explicit,name,popularity,external_urls
EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,Bad Bunny,4q3ewBCX7sLwd24euuV69X,203200,False,LA NOCHE DE ANOCHE,92,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,203200,False,LA NOCHE DE ANOCHE,92,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,Bad Bunny,4q3ewBCX7sLwd24euuV69X,205090,True,DÁKITI,89,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,Jhay Cortez,0EFisYRi20PTADoJrifHrz,205090,True,DÁKITI,89,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,Bad Bunny,4q3ewBCX7sLwd24euuV69X,130013,True,TE MUDASTE,87,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,232253,False,UN DIA (ONE DAY) (Feat. Tainy),86,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,Tainy,0GM7qgcRCORpGnfcN2tCiB,232253,False,UN DIA (ONE DAY) (Feat. Tainy),86,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,232253,False,UN DIA (ONE DAY) (Feat. Tainy),86,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,Bad Bunny,4q3ewBCX7sLwd24euuV69X,232253,False,UN DIA (ONE DAY) (Feat. Tainy),86,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
OASIS,2019-06-28,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,242573,False,LA CANCIÓN,84,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
OASIS,2019-06-28,Bad Bunny,4q3ewBCX7sLwd24euuV69X,242573,False,LA CANCIÓN,84,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,Bad Bunny,4q3ewBCX7sLwd24euuV69X,156430,True,BOOKER T,83,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
CÓMO SE SIENTE (Remix),2020-05-09,Jhay Cortez,0EFisYRi20PTADoJrifHrz,227520,True,CÓMO SE SIENTE - Remix,82,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
CÓMO SE SIENTE (Remix),2020-05-09,Bad Bunny,4q3ewBCX7sLwd24euuV69X,227520,True,CÓMO SE SIENTE - Remix,82,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
Invasion of Privacy,2018-04-06,Cardi B,4kYSro6naA4h99UJvo89HB,253390,True,I Like It,82,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
